자치구코드,법정동코드,자치구명,법정동명,본번,부번,주소,사업자상호
11545,1154510100,금천구,가산동,543,1,"서울특별시 금천구 서부샛길 606 115호(가산동,대성디폴리스지식산업센터)",랜드고부동산중개법인디폴리스(주)
11545,1154510100,금천구,가산동,550,1,서울특별시 금천구 가산디지털2로 98 105호 (가산동),IT캐슬공인중개사사무소
11545,1154510300,금천구,시흥동,924,30,서울특별시 금천구 독산로8길 41 1층 일부 (시흥동),이선희공인중개사사무소
11545,1154510100,금천구,가산동,60,48,"서울특별시 금천구 디지털로9길 41 106호 (가산동, 삼성IT해링턴타워)",삼성해링턴공인중개사사무소
11545,1154510100,금천구,가산동,470,1,"서울특별시 금천구 가산디지털1로 204 112호 일부(가산동, 가산역반도아이비밸리)",이음365공인중개사사무소
11545,1154510100,금천구,가산동,691,0,서울특별시 금천구 가산디지털1로 5 1916호 일부 (가산동),지산랩공인중개사사무소
11545,1154510100,금천구,가산동,691,0,"서울특별시 금천구 가산디지털1로 5 117호 일부 (가산동, 대륭테크노타운20차)",주식회사대륭진부동산중개법인
11530,1153011000,구로구,온수동,9,9,서울특별시 구로구 부일로 875 (온수동),광개토공인중개사사무소
11545,1154510300,금천구,시흥동,249,12,서울특별시 금천구 탑골로 6 1층 일부(시흥동),조은공인중개사사무소
11545,1154510300,금천구,시흥동,985,9,서울특별시 금천구 시흥대로39길 8 1-3호 (시흥동),바로공인중개사사무소
11545,1154510300,금천구,시흥동,922,78,서울특별시 금천구 독산로 28 1층 일부(시흥동),금천하나공인중개사사무소
11545,1154510300,금천구,시흥동,942,16,서울특별시 금천구 시흥대로30길 12 1층 일부(시흥동),금천탑공인중개사사무소
11545,1154510100,금천구,가산동,233,5,"서울특별시 금천구 디지털로10길 69 , B동 205호(가산동, 가산센트럴푸르지오시티)",가산푸르지오공인중개사사무소
11170,1117011200,용산구,원효로1가,47,16,서울특별시 용산구 원효로89길 9 1층,원효공인중개사사무소
11170,1117012500,용산구,한강로2가,422,0,서울특별시 용산구 한강대로 95 A동 1812호(래미안용산더센트럴),블루스톤공인중개사사무소
11170,1117012400,용산구,한강로1가,190,6,서울특별시 용산구 이태원로4가길 21-4 2층(한강로1가),(주)제주성산부동산중개법인
11170,1117011200,용산구,원효로1가,41,0,서울특별시 용산구 원효로90길 11 주거동 214호(용산더프라임),주식회사블루버드부동산중개플랫폼
11170,1117011000,용산구,청파동2가,80,5,서울특별시 용산구 청파로47길 19 1층,스타공인중개사사무소
11170,1117013100,용산구,한남동,28,11,"서울특별시 용산구 독서당로 86 2층(한남동, 한성빌딩)",고요부동산중개법인
11170,1117013000,용산구,이태원동,119,13,서울특별시 용산구 이태원로 169-1 2층,이태원역공인중개사사무소
11170,1117012400,용산구,한강로1가,50,1,"서울특별시 용산구 한강대로 205 D9호 (용산파크자이, 한강로1가)",로얄부동산공인중개사사무소
11170,1117013100,용산구,한남동,737,28,"서울특별시 용산구 이태원로 217 3층 2호(한남동, 현대안성타워)",에이펙스릴로케이션공인중개사사무소
11170,1117012500,용산구,한강로2가,2,8,서울특별시 용산구 한강대로43길 8 103동 1402호,글로리공인중개사사무소
11170,1117012100,용산구,용문동,35,12,서울특별시 용산구 새창로14길 19 ,정열공인중개사사무소
11170,1117010800,용산구,서계동,237,52,서울특별시 용산구 만리재로 170 2층,박사공인중개사사무소
11170,1117013100,용산구,한남동,113,2,서울특별시 용산구 독서당로 27 101동 102호(디케이밸리뷰한남),디케이부동산공인중개사사무소
11170,1117013000,용산구,이태원동,234,6,서울특별시 용산구 회나무로44길 50 ,골드부동산중개사무소
11170,1117011000,용산구,청파동2가,71,37,서울특별시 용산구 청파로45길 35 1층,친한부동산공인중개사사무소
11170,1117010200,용산구,용산동2가,1,434,서울특별시 용산구 신흥로 138 1층,대지부동산공인중개사사무소
11170,1117011200,용산구,원효로1가,47,36,서울특별시 용산구 원효로89길 13 1층,베니스공인중개사사무소
11170,1117010800,용산구,서계동,219,17,서울특별시 용산구 만리재로 202 1층 101-2호(서울역풍림아이원플러스),풍림공인중개사사무소
11170,1117012700,용산구,용산동5가,24,1,서울특별시 용산구 서빙고로 69 1층 상가4-1호(파크타워),용산파크공인중개사사무소
11170,1117012400,용산구,한강로1가,301,2,서울특별시 용산구 한강대로 161 1층,용산파트너공인중개사사무소
11170,1117012800,용산구,한강로3가,63,70,서울특별시 용산구 서빙고로 17 1층 21호(용산센트럴파크해링턴스퀘어),용산제이원부동산중개법인주식회사
11170,1117011500,용산구,산천동,77,3,서울특별시 용산구 효창원로 20 1층,리버힐삼성(712-7776)정문앞공인중개사사무소
11170,1117011100,용산구,청파동3가,107,55,서울특별시 용산구 청파로43나길 2 1층,숙대참조은공인중개사사무소
11170,1117012800,용산구,한강로3가,40,171,서울특별시 용산구 한강대로15길 23 1층,부동산자이공인중개사사무소
11170,1117012900,용산구,이촌동,301,263,서울특별시 용산구 이촌로 300 2-1호,새롬공인중개사사무소
11170,1117012500,용산구,한강로2가,420,0,서울특별시 용산구 한강대로 69 상가동 110-1호,우리동네공인중개사사무소
11170,1117013100,용산구,한남동,632,8,서울특별시 용산구 대사관로30길 9 1층(한남동),유진공인중개사사무소
11170,1117013100,용산구,한남동,682,13,서울특별시 용산구 이태원로54길 16-3 301호(JK54),나인원리얼티공인중개사사무소
11170,1117012100,용산구,용문동,5,94,서울특별시 용산구 효창원로 117 1층 (용문동),이씨복덕방공인중개사사무소
11170,1117013000,용산구,이태원동,243,42,서울특별시 용산구 회나무로44길 40 1층 (이태원동),공정부동산중개법인주식회사
11170,1117012900,용산구,이촌동,209,8,서울특별시 용산구 이촌로 46 1층,이촌대림공인중개사사무소
11170,1117011900,용산구,효창동,5,102,서울특별시 용산구 효창원로 136 1층 (효창동),(주)부동산중개법인청춘제이피
11170,1117012900,용산구,이촌동,203,69,서울특별시 용산구 이촌로18길 21-6 1층,부동산뱅크대림공인중개사사무소
11170,1117011200,용산구,원효로1가,13,25,서울특별시 용산구 백범로79나길 25 1층,한이음공인중개사사무소
11170,1117012500,용산구,한강로2가,420,0,서울특별시 용산구 한강대로 69 상가동 101-1호(용산푸르지오써밋),골든트리공인중개사사무소
11680,1168010100,강남구,역삼동,825,20,"서울특별시 강남구 테헤란로4길 6 3층 센트럴애비뉴311호(역삼동, 강남역 센트럴 푸르지오 시티)",강남역포레스트부동산공인중개사사무소
11680,1168010800,강남구,논현동,217,9,서울특별시 강남구 논현로124길 14 1층[101호](논현동),레아공인중개사사무소
11680,1168010100,강남구,역삼동,825,20,서울특별시 강남구 테헤란로4길 6 212호(역삼동),조용래세무사공인중개사사무소
11680,1168010300,강남구,개포동,168,8,서울특별시 강남구 선릉로 42 1층 102호(개포동),태양공인중개사사무소
11680,1168010100,강남구,역삼동,736,58,서울특별시 강남구 테헤란로26길 14 1층(역삼동),중앙공인중개사사무소
11680,1168011800,강남구,도곡동,954,25,서울특별시 강남구 강남대로44길 20 1층 101호(도곡동),SK공인중개사사무소
11680,1168010100,강남구,역삼동,754,2,서울특별시 강남구 역삼로52길 14 도곡프라자 106(역삼동),푸르지오공인중개사사무소
11680,1168010600,강남구,대치동,1021,14,"서울특별시 강남구 삼성로57길 22 1층 103호(대치동, 동원빌딩)",부동산뉴스공인중개사사무소
11680,1168010100,강남구,역삼동,642,9,서울특별시 강남구 논현로 503 1층(역삼동),역삼부동산공인중개사사무소
11680,1168010100,강남구,역삼동,720,25,"서울특별시 강남구 언주로 427 210호(역삼동, 디오빌역삼)",예일공인중개사사무소
11680,1168010500,강남구,삼성동,101,9,서울특별시 강남구 영동대로112길 61 1층(삼성동),대성공인중개사사무소
11680,1168010100,강남구,역삼동,705,1,"서울특별시 강남구 테헤란로 327 8층 813호(역삼동, 빅토리아오피스텔)",동우공인중개사사무소
11680,1168010300,강남구,개포동,1218,30,서울특별시 강남구 개포로22길 5 [103호](개포동),대성공인중개사사무소
11680,1168010800,강남구,논현동,268,3,서울특별시 강남구 선릉로 623 (논현동),현대공인중개사사무소
11680,1168010600,강남구,대치동,316,0,"서울특별시 강남구 삼성로 212 1층 B-109호(대치동, 은마종합상가)",금탑공인중개사사무소
11680,1168010500,강남구,삼성동,7,3,"서울특별시 강남구 선릉로130길 20 1층 113호(삼성동, 래미안 삼성2차 상가동)",열린공인중개사사무소
11680,1168010700,강남구,신사동,516,5,서울특별시 강남구 강남대로156길 30 1층 101호(신사동),경희공인중개사사무소
11680,1168010500,강남구,삼성동,49,7,서울특별시 강남구 봉은사로73길 5 1층(삼성동),두리공인중개사사무소
11680,1168010800,강남구,논현동,275,4,서울특별시 강남구 언주로114길 5 1층(논현동),삼정공인중개사사무소
11680,1168010300,강남구,개포동,158,10,서울특별시 강남구 선릉로4길 7 1층(개포동),동신공인중개사사무소
11680,1168011400,강남구,일원동,711,1,"서울특별시 강남구 양재대로55길 6 상가 102호(일원동, 수서1단지아파트)",수서공인중개사사무소
11680,1168010100,강남구,역삼동,716,4,"서울특별시 강남구 역삼로 315 1층 103-1호(역삼동, 개나리5차상가동)",선경공인중개사사무소
11680,1168011400,강남구,일원동,677,2,서울특별시 강남구 일원로3길 28 1층(일원동),금탑공인중개사사무소
11680,1168010300,강남구,개포동,186,16,"서울특별시 강남구 개포로 510 107호(개포동, 현대빌딩)",부흥공인중개사사무소
11680,1168010600,강남구,대치동,670,0,"서울특별시 강남구 선릉로 206 110호(대치동, 동부센트레빌상가)",동부아이파크공인중개사사무소
11680,1168010100,강남구,역삼동,683,0,서울특별시 강남구 봉은사로50길 19 지층 102호(역삼동),동림공인중개사사무소
11680,1168010100,강남구,역삼동,699,29,서울특별시 강남구 테헤란로43길 29 1층(역삼동),스마일공인중개사사무소
11680,1168010500,강남구,삼성동,157,8,"서울특별시 강남구 삼성로96길 6 702호(삼성동, LG트윈텔1차)",이레공인중개사무소
11680,1168010300,강남구,개포동,1183,7,서울특별시 강남구 개포로22길 104 1층 102호(개포동),금호공인중개사사무소
11680,1168010800,강남구,논현동,130,24,서울특별시 강남구 논현로123길 8 지하1층[B101호](논현동),덕산공인중개사사무소
11680,1168010500,강남구,삼성동,117,0,"서울특별시 강남구 봉은사로 474 지1층 B103-1호(삼성동, 쌍용플래티넘)",동남공인중개사사무소
11680,1168010500,강남구,삼성동,4,4,서울특별시 강남구 선릉로130길 57 1층 10호(삼성동),강남현대공인중개사사무소
11680,1168010500,강남구,삼성동,125,5,서울특별시 강남구 테헤란로77길 54 102호(삼성동),OK공인중개사사무소
11680,1168010600,강남구,대치동,903,4,서울특별시 강남구 역삼로 455 1층[103호](대치동),멤버스공인중개사사무소
11680,1168010800,강남구,논현동,235,6,서울특별시 강남구 봉은사로33길 5 4층(논현동),엘리트공인중개사사무소
11680,1168010300,강남구,개포동,186,18,서울특별시 강남구 개포로88길 6 1층6호(개포동),베스트공인중개사사무소
11680,1168010600,강남구,대치동,624,0,"서울특별시 강남구 남부순환로 2921 1층 78호(대치동, 남서울종합상가)",대신공인중개사사무소
11650,1165010800,서초구,서초동,1342,0,"서울특별시 서초구 효령로 394 ,1층7호(서초동",그랑자이공인중개사사무소
11650,1165010100,서초구,방배동,934,1,"서울특별시 서초구 방배로23길 31-3 , 1층 (방배동, 제일빌딩)",일등공인중개사사무소
11650,1165010200,서초구,양재동,358,0,"서울특별시 서초구 강남대로6길 66-4 , 1층 (양재동)",시온부동산중개사무소
11650,1165010800,서초구,서초동,1308,25,"서울특별시 서초구 서초대로73길 40 1311호(서초동, 강남오피스텔)",주식회사이투부동산중개법인
11650,1165010600,서초구,잠원동,69,2,"서울특별시 서초구 신반포로 189 , 1층3호(잠원동,반포쇼핑타운4동)",제일공인중개사사무소
11650,1165010100,서초구,방배동,436,2,"서울특별시 서초구 방배천로18길 28 , 1층 (방배동)",아크로파크공인중개사사무소
11650,1165010800,서초구,서초동,1595,2,서울특별시 서초구 반포대로18길 56 2층202호(서초동),서초스타일부동산중개
11650,1165010700,서초구,반포동,20,45,"서울특별시 서초구 잠원로 24 , 지1층 비03호(반포동)",단지내솔공인중개사사무소
11650,1165010100,서초구,방배동,436,8,"서울특별시 서초구 방배천로2안길 122 , 101호 (방배동, 홍성빌)",조은공인중개사사무소
11650,1165010100,서초구,방배동,784,16,"서울특별시 서초구 방배중앙로21길 42 , 1층 (방배동)",청송공인중개사사무소
11650,1165010800,서초구,서초동,1598,1,"서울특별시 서초구 사임당로 38 , 302호(서초동, 큐브플러스)",큐브공인중개사사무소
11650,1165010800,서초구,서초동,1588,7,"서울특별시 서초구 효령로53길 18 104호 (서초동, 석탑오피스텔 1동)",석탑부동산공인중개사사무소
11650,1165010800,서초구,서초동,1451,31,서울특별시 서초구 남부순환로323길 49 (지하1층) (서초동),우림공인중개사사무소
11650,1165010100,서초구,방배동,919,6,서울특별시 서초구 방배중앙로 20 1층(102호) (방배동),샤인공인중개사사무소
11650,1165010100,서초구,방배동,2877,9,"서울특별시 서초구 전원말2길 1 , 1층 (방배동)",삼성공인중개사사무소
11650,1165010600,서초구,잠원동,37,9,서울특별시 서초구 신반포로 339 지상5층2호(잠원동),주식회사두바이포시즌부동산중개법인
11650,1165010800,서초구,서초동,1523,6,서울특별시 서초구 반포대로19길 21 1층(서초동),강남공인중개사사무소주식회사
11650,1165010700,서초구,반포동,60,5,"서울특별시 서초구 사평대로 240 1층 2호(반포동, 반포미도2차상가)",미도단지내공인중개사사무소
11650,1165010100,서초구,방배동,440,33,"서울특별시 서초구 동작대로 54-1 , 1층(방배동)",방배행정사공인중개사사무소
11650,1165010800,서초구,서초동,1340,14,"서울특별시 서초구 강남대로47길 20 , 2층(4호) (서초동)",정원디앤씨공인중개사사무소
11650,1165010100,서초구,방배동,452,4,"서울특별시 서초구 방배천로 22 , 4층(413호)(방배동)",점포25공인중개사사무소
11650,1165010700,서초구,반포동,105,10,"서울특별시 서초구 사평대로22길 36 , 101호(반포동)",도시풍경공인중개사사무소
11650,1165010100,서초구,방배동,954,28,서울특별시 서초구 도구로 89-1 1층 [102호] (방배동),스마트공인중개사사무소
11650,1165010700,서초구,반포동,724,4,"서울특별시 서초구 사평대로57길 105 ,1층[102호] (반포동, 거송)",강남브랜드스타공인중개사사무소
11650,1165010800,서초구,서초동,1573,1,"서울특별시 서초구 서초대로 286 제902호(서초동, 서초프라자)",이찬연법무사행정사공인중개사사무소
11650,1165010600,서초구,잠원동,69,2,"서울특별시 서초구 신반포로 189 , 1층1호(잠원동, 반포쇼핑타운 4동)",신반포공인중개사사무소
11650,1165010200,서초구,양재동,217,0,"서울특별시 서초구 양재대로11길 36 금관(가동) 310호 일부(3101호)(양재동, 서울오토갤러리)",(주)에이치에셋부동산중개법인
11650,1165010800,서초구,서초동,1542,1,"서울특별시 서초구 서초대로 240 402호(서초동, 서초동 동일하이빌)",변호사이성희천고부동산중개
11650,1165010100,서초구,방배동,957,3,"서울특별시 서초구 도구로 77 , 1층(방배동)",방배하나공인중개사사무소
11545,1154510100,금천구,가산동,60,17,"서울특별시 금천구 디지털로9길 65 202호 일부(가산동, 백상스타타워1차)",지우리얼티부동산중개(유)
11545,1154510300,금천구,시흥동,994,9,"서울특별시 금천구 시흥대로 225 106호(시흥동,제이타워)",시흥사거리공인중개사사무소
11545,1154510100,금천구,가산동,371,41,"서울특별시 금천구 가산디지털1로 171 306호 일부(가산동, 가산에스케이브이원센터)",L&B부동산중개
11545,1154510200,금천구,독산동,331,4,"서울특별시 금천구 범안로17길 23 104호(독산동, 우정오피스텔)",3PRO공인중개사사무소
11545,1154510300,금천구,시흥동,1013,0,"서울특별시 금천구 금하로 816 상가1동 103-2호(시흥동,벽산아파트)",개미공인중개사사무소
11545,1154510200,금천구,독산동,149,1,서울특별시 금천구 시흥대로147길 17 101호 (독산동),다온공인중개사사무소
11545,1154510200,금천구,독산동,984,7,서울특별시 금천구 시흥대로146길 34 1층 일부 (독산동),복공인중개사사무소
11545,1154510300,금천구,시흥동,820,40,서울특별시 금천구 독산로 72 1층 일부(시흥동),한결공인중개사사무소
11545,1154510100,금천구,가산동,142,62,서울특별시 금천구 남부순환로 1274 B동 201호(가산동),바른공인중개사사무소
11545,1154510100,금천구,가산동,371,37,서울특별시 금천구 가산디지털1로 128 104호 일부 (가산동),가산랜드마크공인중개사사무소
11545,1154510100,금천구,가산동,152,37,서울특별시 금천구 가산로7길 6 1층 일부 (가산동),햇살부동산중개법인주식회사
